# Truth table
# Generated from circuit ProvaCircuit
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

 M[1..0] I[4..0] | PF[3..0] SL[1..0] BR[1..0] CS[2..0] GS[1..0] SHR CMP SH1 ALUQ A_M M_Q SHL8 SHR8 EXT SEXT R_A R_B SP_A PC_A D_Q WRRD WRSP WRSR WRMAR WR PMAR END
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    00    00000  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #mov_rr,
    00    00001  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #mov_rq,
    00    00010  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #zext_rr,
    00    00011  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #sext_rr,
    00    00100  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #lsrb_rr,
    00    00101  |   1111     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #asrb_rr,
    00    00110  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #lslb_rr,
    00    00111  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #sextw_rr,

    00    01000  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #lsr_rr,
    00    01001  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #lsrc_rr,
    00    01010  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #asr_rr,
    00    01011  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #movw_pr,
    00    01100  |   0000     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #sel_0rr, (*)
    00    01101  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #sel_r0r, (*)
    00    01110  |   0101     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #neg_rr,
    00    01111  |   0101     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #not_rr,

    00    10000  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #jmp_r,
    00    10001  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #call_r,
    00    10010  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    00    10011  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    00    10100  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #mov_sr,
    00    10101  |   1010     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #mov_rs,
    00    10110  |   0000     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #set_nt,
    00    10111  |   0000     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #set_t,

    00    11000  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #ret,
    00    11001  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #reti,
    00    11010  |   0000     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #dint,
    00    11011  |   0000     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #eint,
    00    11100  |   0000     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #halt,
    00    11101  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    00    11110  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    00    11111  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,

    01    00000  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #
    01    00001  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #
    01    00010  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #
    01    00011  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #
    01    00100  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #
    01    00101  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #
    01    00110  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #
    01    00111  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #

    01    01000  |   1001     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #cmp_crr,
    01    01001  |   1001     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #cmpc_crr,
    01    01010  |   1001     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #subc_rrr,
    01    01011  |   1001     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #sub_rrr,
    01    01100  |   1000     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #and_rrr,
    01    01101  |   1110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #or_rrr,
    01    01110  |   1100     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #sel_crrr, (*)
    01    01111  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,

    01    10000  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #xor_rrr,
    01    10001  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #addc_rrr,
    01    10010  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #add_rrr,
    01    10011  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #movw_nr,
    01    10100  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #movzb_nr,
    01    10101  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #movsb_nr,
    01    10110  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #movw_rn,
    01    10111  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #movb_rn,

    01    11000  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    01    11001  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    01    11010  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    01    11011  |   xxxx     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #nop,
    01    11100  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #br_nt,
    01    11101  |   0110     00       00       000      00      0   0   0   0    0   0   0    0    0    0   0   0    0   0    0   0    0    0    0    0   0    0    #br_t,
