# Truth table
# Generated from circuit ProvaCircuit
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

 M[1..0] I[4..0] |   C[2..0] G[1..0] SH CM
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    00    00000  |      000     00   0  0     #mov_rr,
    00    00001  |      000     00   0  0     #mov_rq,
    00    00010  |      000     00   0  0     #zext_rr,
    00    00011  |      000     00   0  0     #sext_rr,
    00    00100  |      000     00   0  0     #bswap_rr
    00    00101  |      100     00   0  0     #sextw_rr
    00    00110  |      xxx     xx   0  0     #reserved,
    00    00111  |      000     00   0  0     #movw_pr,
    00    01000  |      000     00   1  0     #lsr_rr,
    00    01001  |      11x     00   1  0     #lsrc_rr,
    00    01010  |      101     00   1  0     #asr_rr,
    00    01011  |      xxx     00   0  0     #reserved,
    00    01100  |      000     00   0  0     #sel_0rr,  (*)
    00    01101  |      000     00   0  0     #sel_r0r,  (*)
    00    01110  |      001     00   0  0     #neg_rr,
    00    01111  |      000     00   0  0     #not_rr,
    00    10000  |      000     00   0  0     #jmp_r,
    00    10001  |      000     00   0  0     #call_r,
    00    10010  |      xxx     xx   0  0     #reserved,
    00    10011  |      xxx     xx   0  0     #reserved,
    00    10100  |      000     00   0  0     #mov_sr,
    00    10101  |      000     00   0  0     #mov_rs,
    00    10110  |      010     00   0  0     #set_nt,
    00    10111  |      011     00   0  0     #set_t,
    00    11000  |      000     00   0  0     #ret,
    00    11001  |      000     00   0  0     #reti,
    00    11010  |      000     00   0  0     #dint,
    00    11011  |      000     00   0  0     #eint,
    00    11100  |      000     00   0  0     #halt,
    00    11101  |      xxx     xx   0  0     #reserved,
    00    11110  |      xxx     xx   0  0     #reserved,
    00    11111  |      xxx     xx   0  0     #reserved,
    01    00000  |      xxx     xx   x  x     #
    01    00001  |      xxx     xx   x  x     #
    01    00010  |      xxx     xx   x  x     #
    01    00011  |      xxx     xx   x  x     #
    01    00100  |      xxx     xx   x  x     #
    01    00101  |      xxx     xx   x  x     #
    01    00110  |      xxx     xx   x  x     #
    01    00111  |      xxx     xx   x  x     #
    01    01000  |      000     01   0  1     #cmp_crr,
    01    01001  |      x11     01   0  1     #cmpc_crr,
    01    01010  |      x11     01   0  0     #subc_rrr,
    01    01011  |      000     01   0  0     #sub_rrr,
    01    01100  |      000     00   0  0     #and_rrr,
